Inventory Number,Title,Art Type,Full Year,Media,Image,Framed,Current Owner,Contact Id,Artist Id,Location,Bin,Confirmed Middleton Hills,
A-010630,LIKNON RED,FINE ART,,LIFT-GROUND ETCHING WITH CARBORUNDUM,i:\image\010630.jpg,true,0,,2081,2169,,,
A-010670,UNTITLED,FINE ART,,MONOPRINT,I:\Image\010670.jpg,true,0,,145,2518,S,,
A-010683,BOOGALOO,FINE ART,,MIXED MEDIA,i:\image\010683.jpg,true,0,,159,2518,S,,
A-010684,BREAKDOWN,FINE ART,,MIXED MEDIA,i:\image\010684.jpg,true,0,,159,2518,S,,
A-010685,FANDANGO,FINE ART,,MIXED MEDIA,i:\image\010685.jpg,true,0,,159,2518,S,,
A-010702,UNTITLED,FINE ART,1990,HAND COLORED LITHOGRAPH,i:\image\010702.jpg,true,0,,2099,2169,,,
A-010703,FRIDA AND ME,FINE ART,1990,"LITHOGRAPH, COLOR XEROGRAPHY, FABRIC COLLAGE",i:\image\010703.jpg,true,0,,228,2169,,,
A-010704,THE PASSAGE,FINE ART,1990,AQUATINT WITH WATERCOLOR,i:\image\010704.jpg,true,0,,2083,2169,,,
A-010740,CARETAKER,FINE ART,,MONOTYPE,i:\image\010740.jpg,true,0,,91,2169,9B,TRUE,
A-010742,DIVER,FINE ART,1987-89,SILK COLLOGRAPH,I:\Image\010742.jpg,true,0,,84,2169,,,
A-010766,DIVINER,FINE ART,1990,"SPITBITE, AQUATINT, DRYPOINT",i:\image\010766.jpg,true,0,,264,2169,,,
A-010778,GEISHA IN AMSTERDAM,FINE ART,,SERIGRAPH,I:\Image\CHERMAYEFF Geisha in Amsterdam.jpg,true,0,,128,2791,,,
A-010820,MARSHALL'S QUINCES,FINE ART,,LITHOGRAPH,I:\Image\boutagy marshalls quinces.jpg,true,0,,114,2169,10B,TRUE,
A-010821,ELLEN'S TULIPS,FINE ART,,LITHOGRAPH,I:\Image\boutagy ellens tulips.jpg,true,0,,114,2169,10B,TRUE,
A-010925,FLOWERS_ SPACE AND TIME,FINE ART,,LITHOGRAPH,I:\Image\010925.jpg,true,0,,2001,2169,10B,TRUE,
A-010933,LANDSCAPE DRAMA,FINE ART,,WOODCUT,I:\Image\nechvatal landscape drama.jpg,true,3543,3543,65,3543,S,,
A-010955,HEART,FINE ART,,QUILT,i:\image\010955.jpg,false,0,,2087,2518,TB,,
A-011010,PATRIOTIC STARS,FINE ART,,QUILT,i:\image\011010.jpg,false,0,,2087,2518,S,,
A-011058,TRUE RING AT TEMPEST TIME,FINE ART,1991,WOODCUT,i:\image\011058.jpg,true,0,,173,2169,,,
A-011071,ONE-EYED PEASANT,FINE ART,,SERIGRAPH,I:\Image\CHERMAYEFF one eyed peasant.JPG,true,0,,128,2791,,,
A-011145,SPINE,FINE ART,,EIGHT-COLOR WOODCUT,i:\image\011145.jpg,true,0,,2053,2169,15A,TRUE,
A-011146,SLEEPWALKER,FINE ART,,LITHOGRAPH AND RELIEF,I:\Image\chase sleepwalker.jpg,true,0,,195,2169,,,
A-011147,SLEEPWALKER,FINE ART,,LITHOGRAPH,I:\Image\chase sleepwalker.jpg,true,0,,195,2518,19B,TRUE,
A-011152,APOTHEOSIS IN INDIGO,FINE ART,,"LITHOGRAPH, WOODBLOCK",i:\image\011152.jpg,true,0,,2089,2169,,,
A-011156,MERCADO,FINE ART,1992,COLOR LITHOGRAPH,i:\image\011156.jpg,true,0,,2129,2169,,,
A-011171,SOUTH SEA SONATA,FINE ART,1991,THREE-DIMENSIONAL LITHOGRAPH,i:\image\011171.jpg,true,0,,2131,2169,,,
A-011172,THE ARCHER'S PLUM II,FINE ART,,COLOR RELIEF ,i:\image\011172.jpg,true,0,,2111,2169,,,
A-011173,THE ARCHER'S PLUM IV,FINE ART,,COLOR RELIEF ,i:\image\011173.jpg,true,0,,2111,2169,11A,TRUE,
A-011182,SKYSCAPE,FINE ART,,MIXED MEDIA,i:\image\011182.jpg,true,0,,300,2518,S,,
A-011206,FIVE PERSIMMONS-FIVE JEWELS AND FLOWERING CABBAGE WITH MORNING GLORY,FINE ART,1991,"LITHOGRAPH, SERIGRAPH",i:\image\011206.jpg,true,0,,2117,2169,11A,TRUE,
A-011214,OCTAGONS WITH FAN BORDER,FINE ART,,QUILT,i:\image\011214.jpg,true,0,,2162,2518,S,,
A-011266,SPECTATORS AT AN EVENT; THEY MAKE THE EVENT #24,FINE ART,,EMBOSSED PAINTING,i:\image\011266.jpg,true,0,,92,2518,GALLERY,,
A-011281,UNEXPECTED DRAW - TWO HEARTS... #2 - E,FINE ART,,EMBOSSED PAINTING,i:\image\011281.jpg,true,0,,92,2518,GALLERY,,
A-011298,STAR APPLIQUE,FINE ART,,QUILT,i:\image\011298.jpg,true,0,,2150,2518,S,,
